L1,L2,m1,m2,dd1,st,pr
1.620000e+00,8.100000e-01,5,160,9.725079e-02,2.320000e+00,4.191844e-02
1.620000e+00,8.100000e-01,5,165,9.814171e-02,2.300000e+00,4.267031e-02
1.620000e+00,8.100000e-01,5,170,9.807709e-02,2.270000e+00,4.320577e-02
1.620000e+00,8.100000e-01,5,175,9.641527e-02,2.230000e+00,4.323555e-02
1.620000e+00,8.100000e-01,5,180,1.027917e-01,2.220000e+00,4.630258e-02
1.620000e+00,8.100000e-01,5,185,1.038556e-01,2.220000e+00,4.678180e-02
1.620000e+00,8.100000e-01,5,190,9.892038e-02,2.360000e+00,4.191542e-02
1.620000e+00,8.100000e-01,5,195,9.946691e-02,2.330000e+00,4.268966e-02
1.620000e+00,8.100000e-01,5,200,1.014180e-01,2.320000e+00,4.371465e-02
1.620000e+00,8.100000e-01,5,205,1.018667e-01,2.120000e+00,4.805033e-02
1.620000e+00,8.100000e-01,5,210,1.007858e-01,2.270000e+00,4.439903e-02
1.620000e+00,8.100000e-01,5,215,9.993998e-02,2.240000e+00,4.461606e-02
1.620000e+00,8.100000e-01,5,220,1.054923e-01,2.230000e+00,4.730598e-02
1.620000e+00,8.100000e-01,5,225,1.071859e-01,2.210000e+00,4.850041e-02
1.620000e+00,8.100000e-01,5,230,1.021048e-01,2.380000e+00,4.290117e-02
1.620000e+00,8.100000e-01,5,235,1.020876e-01,2.350000e+00,4.344154e-02
1.620000e+00,8.100000e-01,5,240,1.014355e-01,2.150000e+00,4.717929e-02
1.620000e+00,8.100000e-01,5,245,1.058129e-01,2.130000e+00,4.967740e-02
1.620000e+00,8.100000e-01,5,250,1.008126e-01,2.290000e+00,4.402295e-02
1.620000e+00,8.100000e-01,5,255,1.034669e-01,2.270000e+00,4.558015e-02
1.620000e+00,8.100000e-01,5,260,1.048233e-01,2.260000e+00,4.638200e-02
1.620000e+00,8.100000e-01,5,265,1.021119e-01,2.400000e+00,4.254662e-02
1.620000e+00,8.100000e-01,5,270,1.011056e-01,2.380000e+00,4.248133e-02
1.620000e+00,8.100000e-01,5,275,1.011450e-01,2.370000e+00,4.267721e-02
1.620000e+00,8.100000e-01,5,280,1.029377e-01,2.190000e+00,4.700353e-02
1.620000e+00,8.100000e-01,5,285,1.066659e-01,2.180000e+00,4.892930e-02
1.620000e+00,8.100000e-01,5,290,1.020408e-01,2.320000e+00,4.398310e-02
1.620000e+00,8.100000e-01,5,295,1.002020e-01,2.300000e+00,4.356608e-02
1.620000e+00,8.100000e-01,5,300,9.963970e-02,2.290000e+00,4.351079e-02
1.620000e+00,8.100000e-01,5,305,1.029544e-01,2.280000e+00,4.515543e-02
1.620000e+00,8.100000e-01,5,310,1.058625e-01,2.270000e+00,4.663548e-02
1.620000e+00,8.100000e-01,5,315,1.053361e-01,2.250000e+00,4.681603e-02
1.620000e+00,8.100000e-01,5,320,9.870482e-02,2.380000e+00,4.147261e-02
1.620000e+00,8.100000e-01,5,325,1.018200e-01,2.210000e+00,4.607238e-02
