L1,L2,m1,m2,dd1,st,pr,rms
1.620000e+00,8.100000e-01,5,405,3.044394e-01,2.931000e+00,3.044394e-01,4.615517e-02
1.620000e+00,8.100000e-01,5,410,3.047895e-01,2.915000e+00,3.047895e-01,4.604745e-02
1.620000e+00,8.100000e-01,5,415,3.077249e-01,2.758000e+00,3.077249e-01,4.615746e-02
1.620000e+00,8.100000e-01,5,420,3.101785e-01,2.881000e+00,3.101785e-01,4.609808e-02
1.620000e+00,8.100000e-01,5,425,3.016973e-01,2.869000e+00,3.016973e-01,4.623403e-02
1.620000e+00,8.100000e-01,5,430,2.978482e-01,2.857000e+00,2.978482e-01,4.641180e-02
1.620000e+00,8.100000e-01,5,435,3.190372e-01,2.843000e+00,3.190372e-01,4.652694e-02
1.620000e+00,8.100000e-01,5,440,3.194062e-01,2.962000e+00,3.194062e-01,4.670455e-02
1.620000e+00,8.100000e-01,5,445,3.149853e-01,2.950000e+00,3.149853e-01,4.671340e-02
1.620000e+00,8.100000e-01,5,450,3.102379e-01,2.937000e+00,3.102379e-01,4.676192e-02
1.620000e+00,8.100000e-01,5,455,3.063527e-01,2.924000e+00,3.063527e-01,4.693640e-02
1.620000e+00,8.100000e-01,5,460,3.065273e-01,2.910000e+00,3.065273e-01,4.661216e-02
1.620000e+00,8.100000e-01,5,465,3.117007e-01,2.761000e+00,3.117007e-01,4.637816e-02
1.620000e+00,8.100000e-01,5,470,3.136195e-01,2.879000e+00,3.136195e-01,4.605569e-02
1.620000e+00,8.100000e-01,5,475,3.096111e-01,2.870000e+00,3.096111e-01,4.623260e-02
1.620000e+00,8.100000e-01,5,480,3.024924e-01,2.858000e+00,3.024924e-01,4.683546e-02
1.620000e+00,8.100000e-01,5,485,3.000098e-01,2.846000e+00,3.000098e-01,4.661375e-02
1.620000e+00,8.100000e-01,5,490,3.004953e-01,2.952000e+00,3.004953e-01,4.629319e-02
1.620000e+00,8.100000e-01,5,495,3.153378e-01,2.944000e+00,3.153378e-01,4.608598e-02
1.620000e+00,8.100000e-01,5,500,3.136562e-01,2.935000e+00,3.136562e-01,4.633721e-02
2.430000e+00,8.100000e-01,5,5,2.648786e-01,3.214000e+00,2.648786e-01,6.432682e-02
2.430000e+00,8.100000e-01,5,10,2.624830e-01,3.082000e+00,2.624830e-01,6.135555e-02
2.430000e+00,8.100000e-01,5,15,3.151403e-01,3.064000e+00,3.151403e-01,6.421760e-02
2.430000e+00,8.100000e-01,5,20,3.027789e-01,3.305000e+00,3.027789e-01,6.773142e-02
2.430000e+00,8.100000e-01,5,25,3.077747e-01,3.208000e+00,3.077747e-01,6.661307e-02
2.430000e+00,8.100000e-01,5,30,2.765686e-01,3.128000e+00,2.765686e-01,6.721593e-02
2.430000e+00,8.100000e-01,5,35,3.122197e-01,3.353000e+00,3.122197e-01,6.712737e-02
2.430000e+00,8.100000e-01,5,40,2.962565e-01,2.891000e+00,2.962565e-01,6.485138e-02
2.430000e+00,8.100000e-01,5,45,3.178884e-01,3.101000e+00,3.178884e-01,6.637505e-02
2.430000e+00,8.100000e-01,5,50,3.345307e-01,3.302000e+00,3.345307e-01,6.564967e-02
2.430000e+00,8.100000e-01,5,55,3.100968e-01,3.162000e+00,3.100968e-01,6.555598e-02
2.430000e+00,8.100000e-01,5,60,3.245763e-01,2.751000e+00,3.245763e-01,6.306362e-02
2.430000e+00,8.100000e-01,5,65,3.077623e-01,3.317000e+00,3.077623e-01,6.622843e-02
2.430000e+00,8.100000e-01,5,70,3.284127e-01,3.262000e+00,3.284127e-01,6.559908e-02
2.430000e+00,8.100000e-01,5,75,2.930631e-01,3.187000e+00,2.930631e-01,6.554143e-02
2.430000e+00,8.100000e-01,5,80,3.454817e-01,2.781000e+00,3.454817e-01,6.526218e-02
2.430000e+00,8.100000e-01,5,85,3.531028e-01,3.018000e+00,3.531028e-01,6.615946e-02
2.430000e+00,8.100000e-01,5,90,3.491628e-01,3.222000e+00,3.491628e-01,6.752332e-02
2.430000e+00,8.100000e-01,5,95,3.499232e-01,2.913000e+00,3.499232e-01,6.610845e-02
2.430000e+00,8.100000e-01,5,100,3.244349e-01,3.120000e+00,3.244349e-01,6.672240e-02
2.430000e+00,8.100000e-01,5,105,3.329317e-01,3.059000e+00,3.329317e-01,6.485481e-02
2.430000e+00,8.100000e-01,5,110,3.178683e-01,3.272000e+00,3.178683e-01,6.602675e-02
2.430000e+00,8.100000e-01,5,115,3.253796e-01,3.200000e+00,3.253796e-01,6.567563e-02
2.430000e+00,8.100000e-01,5,120,3.249947e-01,3.169000e+00,3.249947e-01,6.603987e-02
2.430000e+00,8.100000e-01,5,125,3.237759e-01,3.105000e+00,3.237759e-01,6.582017e-02
2.430000e+00,8.100000e-01,5,130,3.318432e-01,3.323000e+00,3.318432e-01,6.572869e-02
2.430000e+00,8.100000e-01,5,135,3.175258e-01,3.257000e+00,3.175258e-01,6.588569e-02
2.430000e+00,8.100000e-01,5,140,3.150733e-01,3.197000e+00,3.150733e-01,6.632546e-02
2.430000e+00,8.100000e-01,5,145,3.115441e-01,3.180000e+00,3.115441e-01,6.521278e-02
2.430000e+00,8.100000e-01,5,150,3.212476e-01,3.131000e+00,3.212476e-01,6.673896e-02
2.430000e+00,8.100000e-01,5,155,3.270086e-01,3.076000e+00,3.270086e-01,6.614600e-02
2.430000e+00,8.100000e-01,5,160,3.231755e-01,3.267000e+00,3.231755e-01,6.606290e-02
2.430000e+00,8.100000e-01,5,165,3.178827e-01,3.229000e+00,3.178827e-01,6.632454e-02
2.430000e+00,8.100000e-01,5,170,3.149720e-01,3.181000e+00,3.149720e-01,6.636021e-02
2.430000e+00,8.100000e-01,5,175,3.192641e-01,3.150000e+00,3.192641e-01,6.683720e-02
2.430000e+00,8.100000e-01,5,180,3.312338e-01,3.113000e+00,3.312338e-01,6.637357e-02
2.430000e+00,8.100000e-01,5,185,3.312675e-01,3.079000e+00,3.312675e-01,6.678236e-02
