t1sc,d1sc
2.366000e+01,2.461936e-01
2.367000e+01,2.498243e-01
2.368000e+01,2.534151e-01
2.369000e+01,2.569653e-01
2.370000e+01,2.604741e-01
2.371000e+01,2.639408e-01
2.372000e+01,2.673647e-01
2.373000e+01,2.707449e-01
2.374000e+01,2.740807e-01
2.375000e+01,2.773715e-01
2.376000e+01,2.806165e-01
2.377000e+01,2.838150e-01
2.378000e+01,2.869663e-01
2.379000e+01,2.900699e-01
2.380000e+01,2.931252e-01
2.381000e+01,2.961315e-01
2.382000e+01,2.990884e-01
2.383000e+01,3.019954e-01
2.384000e+01,3.048521e-01
2.385000e+01,3.076581e-01
2.386000e+01,3.104130e-01
2.387000e+01,3.131166e-01
2.388000e+01,3.157685e-01
2.389000e+01,3.183685e-01
2.390000e+01,3.209164e-01
2.391000e+01,3.234120e-01
2.392000e+01,3.258551e-01
2.393000e+01,3.282455e-01
2.394000e+01,3.305831e-01
2.395000e+01,3.328677e-01
2.396000e+01,3.350991e-01
2.397000e+01,3.372772e-01
2.398000e+01,3.394017e-01
2.399000e+01,3.414724e-01
24,3.434892e-01
2.401000e+01,3.454518e-01
2.402000e+01,3.473599e-01
2.403000e+01,3.492132e-01
2.404000e+01,3.510113e-01
2.405000e+01,3.527541e-01
2.406000e+01,3.544410e-01
2.407000e+01,3.560717e-01
2.408000e+01,3.576458e-01
2.409000e+01,3.591630e-01
2.410000e+01,3.606227e-01
2.411000e+01,3.620247e-01
2.412000e+01,3.633684e-01
2.413000e+01,3.646535e-01
2.414000e+01,3.658796e-01
2.415000e+01,3.670463e-01
2.416000e+01,3.681533e-01
2.417000e+01,3.692003e-01
2.418000e+01,3.701870e-01
2.419000e+01,3.711131e-01
2.420000e+01,3.719785e-01
2.421000e+01,3.727829e-01
2.422000e+01,3.735263e-01
2.423000e+01,3.742086e-01
2.424000e+01,3.748296e-01
2.425000e+01,3.753895e-01
2.426000e+01,3.758882e-01
2.427000e+01,3.763258e-01
2.428000e+01,3.767024e-01
2.429000e+01,3.770181e-01
2.430000e+01,3.772731e-01
2.431000e+01,3.774675e-01
2.432000e+01,3.776016e-01
2.433000e+01,3.776754e-01
2.434000e+01,3.776892e-01
2.435000e+01,3.776432e-01
2.436000e+01,3.775376e-01
2.437000e+01,3.773724e-01
2.438000e+01,3.771480e-01
2.439000e+01,3.768643e-01
2.440000e+01,3.765216e-01
2.441000e+01,3.761199e-01
2.442000e+01,3.756594e-01
2.443000e+01,3.751400e-01
2.444000e+01,3.745619e-01
2.445000e+01,3.739249e-01
2.446000e+01,3.732293e-01
2.447000e+01,3.724748e-01
2.448000e+01,3.716616e-01
2.449000e+01,3.707895e-01
2.450000e+01,3.698587e-01
2.451000e+01,3.688689e-01
2.452000e+01,3.678203e-01
2.453000e+01,3.667128e-01
2.454000e+01,3.655465e-01
2.455000e+01,3.643213e-01
2.456000e+01,3.630374e-01
2.457000e+01,3.616948e-01
2.458000e+01,3.602938e-01
2.459000e+01,3.588343e-01
2.460000e+01,3.573167e-01
2.461000e+01,3.557412e-01
2.462000e+01,3.541080e-01
2.463000e+01,3.524175e-01
2.464000e+01,3.506700e-01
2.465000e+01,3.488660e-01
2.466000e+01,3.470058e-01
2.467000e+01,3.450899e-01
2.468000e+01,3.431187e-01
2.469000e+01,3.410928e-01
2.470000e+01,3.390127e-01
2.471000e+01,3.368789e-01
2.472000e+01,3.346920e-01
2.473000e+01,3.324524e-01
2.474000e+01,3.301608e-01
2.475000e+01,3.278176e-01
2.476000e+01,3.254234e-01
2.477000e+01,3.229786e-01
2.478000e+01,3.204838e-01
2.479000e+01,3.179395e-01
2.480000e+01,3.153460e-01
2.481000e+01,3.127039e-01
2.482000e+01,3.100135e-01
2.483000e+01,3.072752e-01
2.484000e+01,3.044895e-01
2.485000e+01,3.016565e-01
2.486000e+01,2.987768e-01
2.487000e+01,2.958506e-01
2.488000e+01,2.928783e-01
2.489000e+01,2.898601e-01
2.490000e+01,2.867964e-01
2.491000e+01,2.836875e-01
2.492000e+01,2.805337e-01
2.493000e+01,2.773355e-01
2.494000e+01,2.740931e-01
2.495000e+01,2.708070e-01
2.496000e+01,2.674776e-01
2.497000e+01,2.641053e-01
2.498000e+01,2.606905e-01
2.499000e+01,2.572339e-01
25,2.537360e-01
2.501000e+01,2.501972e-01
2.502000e+01,2.466183e-01
2.503000e+01,2.429999e-01
2.504000e+01,2.393426e-01
2.505000e+01,2.356473e-01
2.506000e+01,2.319144e-01
2.507000e+01,2.281450e-01
2.508000e+01,2.243396e-01
2.509000e+01,2.204992e-01
2.510000e+01,2.166244e-01
2.511000e+01,2.127161e-01
2.512000e+01,2.087751e-01
2.513000e+01,2.048022e-01
2.514000e+01,2.007981e-01
2.515000e+01,1.967637e-01
2.516000e+01,1.926997e-01
2.517000e+01,1.886068e-01
2.518000e+01,1.844858e-01
2.519000e+01,1.803374e-01
2.520000e+01,1.761622e-01
2.521000e+01,1.719609e-01
2.522000e+01,1.677341e-01
2.523000e+01,1.634825e-01
2.524000e+01,1.592066e-01
2.525000e+01,1.549071e-01
2.526000e+01,1.505844e-01
2.527000e+01,1.462392e-01
2.528000e+01,1.418720e-01
2.529000e+01,1.374832e-01
2.530000e+01,1.330735e-01
2.531000e+01,1.286435e-01
2.532000e+01,1.241936e-01
2.533000e+01,1.197244e-01
2.534000e+01,1.152366e-01
2.535000e+01,1.107306e-01
2.536000e+01,1.062073e-01
2.537000e+01,1.016671e-01
2.538000e+01,9.711090e-02
2.539000e+01,9.253927e-02
2.540000e+01,8.795298e-02
2.541000e+01,8.335281e-02
2.542000e+01,7.873954e-02
2.543000e+01,7.411400e-02
2.544000e+01,6.947702e-02
2.545000e+01,6.482948e-02
2.546000e+01,6.017225e-02
2.547000e+01,5.550622e-02
2.548000e+01,5.083230e-02
2.549000e+01,4.615139e-02
2.550000e+01,4.146441e-02
2.551000e+01,3.677226e-02
2.552000e+01,3.207585e-02
2.553000e+01,2.737605e-02
2.554000e+01,2.267376e-02
2.555000e+01,1.796981e-02
2.556000e+01,1.326506e-02
2.557000e+01,8.560304e-03
2.558000e+01,3.856341e-03
2.559000e+01,-8.460688e-04
2.560000e+01,-5.546186e-03
2.561000e+01,-1.024330e-02
2.562000e+01,-1.493672e-02
2.563000e+01,-1.962578e-02
2.564000e+01,-2.430985e-02
2.565000e+01,-2.898828e-02
2.566000e+01,-3.366047e-02
2.567000e+01,-3.832582e-02
2.568000e+01,-4.298374e-02
2.569000e+01,-4.763364e-02
2.570000e+01,-5.227492e-02
2.571000e+01,-5.690701e-02
2.572000e+01,-6.152929e-02
2.573000e+01,-6.614117e-02
2.574000e+01,-7.074200e-02
2.575000e+01,-7.533116e-02
2.576000e+01,-7.990799e-02
2.577000e+01,-8.447179e-02
2.578000e+01,-8.902188e-02
2.579000e+01,-9.355753e-02
2.580000e+01,-9.807798e-02
2.581000e+01,-1.025825e-01
2.582000e+01,-1.070702e-01
2.583000e+01,-1.115405e-01
