t1,d1,v1,u,u_max
2.33E+00,-6.808038E-01,7.032306E-02,0,-4.133236E+00
2.34E+00,-6.800547E-01,7.952079E-02,0,-4.115768E+00
2.35E+00,-6.79213E-01,8.88527E-02,0,-4.097537E+00
2.36E+00,-6.782771E-01,9.835579E-02,0,-4.078483E+00
2.37E+00,-6.772452E-01,1.080621E-01,0,-4.058548E+00
2.38E+00,-6.761151E-01,1.179978E-01,0,-4.037684E+00
2.39E+00,-6.748844E-01,1.281826E-01,0,-4.015848E+00
2.4E+00,-6.735506E-01,1.386291E-01,0,-3.993006E+00
2.41E+00,-6.721109E-01,1.493425E-01,0,-3.969135E+00
2.42E+00,-6.705628E-01,1.603204E-01,0,-3.944222E+00
2.43E+00,-6.689037E-01,1.71553E-01,0,-3.918263E+00
2.44E+00,-6.67131E-01,1.830232E-01,0,-3.891268E+00
2.45E+00,-6.652425E-01,1.94707E-01,0,-3.863255E+00
2.46E+00,-6.632362E-01,2.06574E-01,0,-3.834256E+00
2.47E+00,-6.611105E-01,2.185885E-01,0,-3.804308E+00
2.48E+00,-6.588641E-01,2.307101E-01,0,-3.773461E+00
2.49E+00,-6.564961E-01,2.428948E-01,0,-3.741771E+00
2.5E+00,-6.540062E-01,2.550961E-01,0,-3.709299E+00
2.51E+00,-6.513943E-01,2.672661E-01,0,-3.676114E+00
2.52E+00,-6.486611E-01,2.793567E-01,0,-3.642285E+00
2.53E+00,-6.458076E-01,2.91321E-01,0,-3.607884E+00
2.54E+00,-6.428352E-01,3.031142E-01,0,-3.572983E+00
2.55E+00,-6.39746E-01,3.146948E-01,0,-3.537652E+00
2.56E+00,-6.365422E-01,3.260255E-01,0,-3.501956E+00
2.57E+00,-6.332264E-01,3.370744E-01,0,-3.465958E+00
2.58E+00,-6.298017E-01,3.478155E-01,0,-3.429711E+00
2.59E+00,-6.262712E-01,3.582293E-01,0,-3.393262E+00
2.6E+00,-6.226383E-01,3.683035E-01,0,-3.35665E+00
2.61E+00,-6.189063E-01,3.780328E-01,0,-3.319903E+00
2.62E+00,-6.150788E-01,3.874195E-01,0,-3.283039E+00
2.63E+00,-6.11159E-01,3.96473E-01,0,-3.246066E+00
2.64E+00,-6.071504E-01,4.052097E-01,0,-3.208982E+00
2.65E+00,-6.030558E-01,4.136523E-01,0,-3.171774E+00
2.66E+00,-5.988782E-01,4.218294E-01,0,-3.13442E+00
2.67E+00,-5.9462E-01,4.297746E-01,0,-3.096887E+00
2.68E+00,-5.902833E-01,4.375256E-01,0,-3.059138E+00
2.69E+00,-5.8587E-01,4.45123E-01,0,-3.021126E+00
2.7E+00,-5.813813E-01,4.526097E-01,0,-2.982799E+00
2.71E+00,-5.76818E-01,4.60029E-01,0,-2.944104E+00
2.72E+00,-5.721808E-01,4.674243E-01,0,-2.904981E+00
2.73E+00,-5.674695E-01,4.748373E-01,0,-2.865374E+00
2.74E+00,-5.626838E-01,4.823072E-01,0,-2.825226E+00
2.75E+00,-5.57823E-01,4.898695E-01,0,-2.784482E+00
2.76E+00,-5.52886E-01,4.975552E-01,0,-2.743092E+00
2.77E+00,-5.478714E-01,5.0539E-01,0,-2.701013E+00
2.78E+00,-5.427777E-01,5.133936E-01,0,-2.658206E+00
2.79E+00,-5.376029E-01,5.215789E-01,0,-2.614643E+00
2.8E+00,-5.323454E-01,5.299522E-01,0,-2.570304E+00
2.81E+00,-5.270033E-01,5.385126E-01,0,-2.525177E+00
2.82E+00,-5.215746E-01,5.47252E-01,0,-2.479264E+00
2.83E+00,-5.160577E-01,5.561556E-01,0,-2.432574E+00
2.84E+00,-5.10451E-01,5.652021E-01,0,-2.385127E+00
2.85E+00,-5.047533E-01,5.743641E-01,0,-2.336952E+00
2.86E+00,-4.989635E-01,5.83609E-01,0,-2.28809E+00
2.87E+00,-4.930809E-01,5.928999E-01,0,-2.238588E+00
2.88E+00,-4.871054E-01,6.021961E-01,0,-2.188501E+00
2.89E+00,-4.810371E-01,6.114546E-01,0,-2.13789E+00
2.9E+00,-4.748766E-01,6.206309E-01,0,-2.086819E+00
2.91E+00,-4.686249E-01,6.296802E-01,0,-2.035359E+00
2.92E+00,-4.622836E-01,6.385586E-01,0,-1.98358E+00
2.93E+00,-4.558545E-01,6.472241E-01,0,-1.931552E+00
2.94E+00,-4.493399E-01,6.556375E-01,0,-1.879345E+00
2.95E+00,-4.427427E-01,6.637638E-01,0,-1.827023E+00
2.96E+00,-4.360657E-01,6.715725E-01,0,-1.774648E+00
2.97E+00,-4.293124E-01,6.790389E-01,0,-1.722275E+00
2.98E+00,-4.224862E-01,6.861442E-01,0,-1.669953E+00
2.99E+00,-4.155907E-01,6.928763E-01,0,-1.61772E+00
3,-4.086299E-01,6.992298E-01,0,-1.565608E+00
3.01E+00,-4.016074E-01,7.052064E-01,0,-1.513638E+00
3.02E+00,-3.94527E-01,7.108142E-01,0,-1.461821E+00
